"Group","Correlation","Correlation_P","Slope","R_squared"
"HRZE 2 WK DOSE",0.0680918626571311,0.730634985731295,0.000331238111848171,0.0046365017601176
"HRZE 4 WK DOSE",-0.00173451696806232,0.993010836807491,-2.33410773054497e-06,3.00854911249619e-06
"HRZE 8 WK DOSE",-0.331975675583645,0.0843666121391379,-0.000146406499648834,0.110207849179217
"HRZE.HR 12 WK DOSE",-0.152862175127031,0.437410737628566,-4.31077870043749e-05,0.0233668445845671
"UNTX",0.0773892664235,0.801588994466356,0.000441176369810497,0.00598909855756746
