"since.TX.Start","logCFU_mean","log16S_mean","log10CFUreduction_mu","log1016Sreduction_mu"
"PreRx",7.40213897528434,8.9611334382336,0.000000000000000136646026462667,-0.000000000000000819854917795938
"2 wks HRZE",5.92644108733718,7.98939796971974,-1.47569788794716,-0.971735468513857
"2 wks HRZE + 2 wk holiday",5.77827274289123,7.74667898273068,-1.62386623239311,-1.21445445550292
"2 wks HRZE + 4 wk holiday",5.92685726028522,7.59121107987313,-1.47528171499912,-1.36992235836046
"4 wks HRZE",5.30077487469107,7.89121353998556,-2.10136410059327,-1.06991989824804
"4 wks HRZE + 2 wk holiday",4.568507874637,7.5142296510201,-2.83363110064734,-1.44690378721349
"4 wks HRZE + 4 wk holiday",5.26576802284044,7.17336664456863,-2.1363709524439,-1.78776679366497
"8 wks HRZE",2.4962955848471,7.19298330902184,-4.90584339043725,-1.76815012921175
