"Comparison","CFU_EOT","CFU_REC","CFU_direction","CFU_fold","r16S_EOT","r16S_REC","r16S_direction","r16S_fold"
"2wk HRZE -> +4wk holiday",726562.5,1335937.5,"Increase",1.84,280111898.805,106640548.83,"Decrease",2.63
"4wk HRZE -> +4wk holiday",257812.5,253125,"Decrease",1.02,223304578.155,50780357.445,"Decrease",4.4
