Study.name,Group,Full.name,WL.num,Sample.type,Study.stage,Days.since.Tx.start,Treatment.days,Washout.period,CFU,Adjusted.16S.Original,Culture.status,CFU_LOD,uL.template.RTP.16S.Original,cDNA.dilution.RTP.16S.Original,Median.Count.RTP.16S.Original,uL.RNA.into.RT.RTP.16S.Original,T50,T50_ci_low,T50_ci_up,T95,T95_ci_low,T95_ci_up
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_2wk_Grp 2: 2HRZE/3HR_LG F,5769,mouse,On Treatment,14,14,0,2200000,1052252198,NA,NA,2,10,280600.5861,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_2wk_Grp 3: PaMZ_LG A,5770,mouse,On Treatment,14,14,0,263000,563764316.1,NA,NA,2,10,150337.1509,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_2wk_Grp 3: PaMZ_LG B,5771,mouse,On Treatment,14,14,0,394000,1619849140,NA,NA,2,10,431959.7706,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_2wk_Grp 3: PaMZ_LG C,5772,mouse,On Treatment,14,14,0,178000,1552639328,NA,NA,2,10,414037.1541,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_2wk_Grp 3: PaMZ_LG D,5773,mouse,On Treatment,14,14,0,88100,915506440.2,NA,NA,2,10,244135.0507,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_2wk_Grp 3: PaMZ_LG E,5774,mouse,On Treatment,14,14,0,253000,1301980049,NA,NA,2,10,347194.6797,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_2wk_Grp 3: PaMZ_LG F,5775,mouse,On Treatment,14,14,0,234000,1656267055,NA,NA,2,10,441671.2147,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_2wk_Grp 4: BPaL_LG A,5776,mouse,On Treatment,14,14,0,82500,554387010.6,NA,NA,2,10,147836.5362,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_2wk_Grp 4: BPaL_LG B,5777,mouse,On Treatment,14,14,0,88100,1058997997,NA,NA,2,10,282399.4658,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_2wk_Grp 4: BPaL_LG C,5778,mouse,On Treatment,14,14,0,384000,644408460.9,NA,NA,2,10,171842.2562,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_2wk_Grp 4: BPaL_LG D,5779,mouse,On Treatment,14,14,0,24400,722906196,NA,NA,2,10,192774.9856,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_2wk_Grp 4: BPaL_LG E,5780,mouse,On Treatment,14,14,0,101000,893244359.4,NA,NA,2,10,238198.4958,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaL,Gates-BC-Rel-01_2wk_Grp 4: BPaL_LG F,5781,mouse,On Treatment,14,14,0,206000,1020926624,NA,NA,2,10,272247.0997,2,8.204487147,7.991936648,8.417037646,9.83078442,9.618233921,10.04333492
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_2wk_Grp 5: BPaMZ_LG A,5782,mouse,On Treatment,14,14,0,2250,567791163,NA,NA,2,10,151410.9768,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_2wk_Grp 5: BPaMZ_LG B,5783,mouse,On Treatment,14,14,0,3500,987835631.4,NA,NA,2,10,263422.835,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_2wk_Grp 5: BPaMZ_LG C,5784,mouse,On Treatment,14,14,0,4750,629472208.5,NA,NA,2,10,167859.2556,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_2wk_Grp 5: BPaMZ_LG D,5785,mouse,On Treatment,14,14,0,5000,291494792.9,NA,NA,2,10,77731.94476,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_2wk_Grp 5: BPaMZ_LG E,5786,mouse,On Treatment,14,14,0,6250,496284864.9,NA,NA,2,10,132342.6306,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
