"Group","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","Study.name","T95_SE"
"HRZE",17.3858067195428,16.8636788428104,17.9079345962751,20.7939863070175,20.2718584302852,21.3161141837499,"Gates-BC-Rel-01",0.266391773843022
"HRZE",16.1398749705818,15.7587600825134,16.5209898586501,19.3038116981941,18.9226968101258,19.6849265862625,"Crush-TB-Substudy",0.194446371463458
"BPaMZ",4.55935321593607,4.11375725820556,5.00494917366657,5.45313368947451,5.00753773174401,5.89872964720501,"Gates-BC-Rel-01",0.227344876393114
"BPaMZ",4.21661840076284,4.08158053908245,4.35165626244324,5.04321178198895,4.90817392030855,5.17824964366935,"TBDA-BC-Rel-01",0.0688968682042841
"PaMZ",10.9923712345919,10.4021858530377,11.5825566161461,13.1472309925558,12.5570456110016,13.73741637411,"Gates-BC-Rel-01",0.301114990588893
"BPaL",8.20284296520101,7.99775375431677,8.40793217608524,9.81086509522009,9.60577588433585,10.0159543061043,"Gates-BC-Rel-01",0.104637352491957
"PZM",7.7603210836701,5.76476303419288,9.75587913314732,9.28159463377144,7.28603658429422,11.2771526832487,"Crush-TB-Substudy",1.01814186197818
"BZM",6.15087391066802,5.98671411672936,6.31503370460668,7.35664383815179,7.19248404421313,7.52080363209045,"Crush-TB-Substudy",0.0837549969074807
"BZMRb",5.07600002839629,4.69301347748041,5.45898657931218,6.07105996216142,5.68807341124554,6.45404651307731,"Crush-TB-Substudy",0.195401301487697
"BDOS",10.1523653559286,9.92691888987182,10.3778118219855,12.1425568338868,11.91711036783,12.3680032999437,"TBDA-BC-Rel-01",0.115023707171849
"BPaOS",8.60912939269634,8.3708238205095,8.84743496488318,10.2967967834269,10.0584912112401,10.5351023556138,"TBDA-BC-Rel-01",0.121584475605532
