"Variable","Corr","Corr_L","Corr_U","Corr_p","Slope","Slope_L","Slope_U","Slope_p","R2"
"Change.CFU2",-0.892,-0.972,-0.63,0.000219065033079295,-2.856,-3.945,-1.768,0.000219,0.797
"Change.16S.rRNA2",-0.337,-0.779,0.33,0.31134292700847,-3.157,-9.815,3.501,0.311343,0.113
