"Group","B_change_log10","S_change_log10","Gap_log10","Fold_SN_over_BN","Fold_Reduction","Fold_Reduction_Text"
"HRZE",-2.48,-0.9,1.59,39,39,"39-times greater reduction in CFU"
"PaMZ",-5.11,-0.66,4.46,28676,28676,"28676-times greater reduction in CFU"
"BPaL",-5.45,-0.58,4.86,73162,73162,"73162-times greater reduction in CFU"
"BPaMZ",-7.01,-1.29,5.72,526863,526863,"526863-times greater reduction in CFU"
"PZM",-3.75,-1.27,2.48,301,301,"301-times greater reduction in CFU"
"BZM",-6.02,-1.53,4.48,30463,30463,"30463-times greater reduction in CFU"
"BZMRb",-6,-1.46,4.55,35129,35129,"35129-times greater reduction in CFU"
"BDOS",-5.29,-1.19,4.1,12488,12488,"12488-times greater reduction in CFU"
"BPaOS",-5.62,-1.95,3.67,4692,4692,"4692-times greater reduction in CFU"
