"Study.name","Group","Treatment.days","CFU","logCFU","Adjusted.16S.Original","logAdjusted.16S.Original","PreRx_CFU","PreRx_logCFU","PreRx_16s","PreRx_log16s","CFU_Decline_from_PreRx","CFU_log10_Decline_from_PreRx","r16S_Decline_from_PreRx","r16S_log10_Decline_from_PreRx","CFU_fold_decline","r16S_fold_decline"
"Gates-BC-Rel-01","BPaL",28,103.183333333333,1.95015304050654,348760480.73,8.53682628887748,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583230.15,5.29,1289340203.37,0.65,170408.66,4.7
"Gates-BC-Rel-01","BPaL",56,2.98855072483333,0.412932181885145,40753405.964,7.5393487064443,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583330.3447826,6.83,1597347278.136,1.65,5883565.3,40.2
"Gates-BC-Rel-01","BPaL",14,147666.666666667,5.02522325030334,815811774.65,8.89948602964471,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17435666.6666667,2.21,822288909.45,0.29,119.07,2.01
"Gates-BC-Rel-01","BPaL",21,2008.33333333333,3.24167424514464,672381807.1,8.78941456070681,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17581325,4,965718877,0.4,8755.19,2.44
"Gates-BC-Rel-01","BPaL",7,3653333.33333333,6.51258017910486,1566169046,9.19129017693484,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,13930000,0.73,71931638.1000001,-0.01,4.81,1.05
"Gates-BC-Rel-01","BPaL",84,1.630434783,0.212303431814357,16346009.0105,7.13535023032638,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583331.7028986,7.03,1621754675.0895,2.05,10784444.44,100.21
"Gates-BC-Rel-01","BPaMZ",14,4375,3.62016778459032,546086862.825,8.69842904839897,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17578958.3333333,3.62,1092013821.275,0.49,4019.05,3
"Gates-BC-Rel-01","BPaMZ",21,46.25,1.60700138064043,416111852.065,8.60017808133757,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583287.0833333,5.63,1221988832.035,0.58,380180.18,3.94
"Gates-BC-Rel-01","BPaMZ",56,1.630434783,0.212303431814357,13667116.427,7.12287974837979,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583331.7028986,7.03,1624433567.673,2.06,10784444.44,119.86
"Gates-BC-Rel-01","BPaMZ",7,1593333.33333333,6.17709073159023,2765620326.3,9.43153000395365,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,15990000,1.06,-1127519642.2,-0.25,11.04,0.59
"Gates-BC-Rel-01","BPaMZ",28,4.0752173915,0.492452391005088,163117744.715,8.20418530436049,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583329.2581159,6.75,1474982939.385,0.98,4314698.25,10.04
"Gates-BC-Rel-01","BPaMZ",42,1.630434783,0.212303431814357,38570523.2775,7.56596482181269,17583333.3333333,7.23832487582122,1638100684.1,9.18494351383308,17583331.7028986,7.03,1599530160.8225,1.62,10784444.44,42.47
"TBDA-BC-Rel-01","BPaMZ",28,1.875,0.254026025148909,25702643.1132,7.37693601161089,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.125,7.32,574907204.0268,1.34,21916666.67,23.37
"TBDA-BC-Rel-01","BPaMZ",42,1.875,0.254026025148909,8062490.1516,6.88529083105515,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.125,7.32,592547356.9884,1.83,21916666.67,74.49
"TBDA-BC-Rel-01","BPaMZ",56,1.5625,0.193820026016113,7799542.77414,6.66825422420656,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.4375,7.38,592810304.36586,2.05,26300000,77.01
"TBDA-BC-Rel-01","BPaMZ",14,9225,3.93966008918848,255693116.514,8.34173595858909,41093750,7.57081665519807,600609847.14,8.71904191035339,41084525,3.63,344916730.626,0.38,4454.61,2.35
"Crush-TB-Substudy","PZM",14,888751,5.9399563526167,2234911857.12,9.34596315670553,19350001,7.27528162888703,6022690255.2,9.76208858607021,18461250,1.34,3787778398.08,0.42,21.77,2.69
"Crush-TB-Substudy","PZM",28,4819.75,3.64364998739359,82844819.46825,7.84470053356633,19350001,7.27528162888703,6022690255.2,9.76208858607021,19345181.25,3.63,5939845435.73175,1.92,4014.73,72.7
"Crush-TB-Substudy","BZM",14,224026,5.30991564716326,350984175.66,8.4646018920291,19350001,7.27528162888703,6022690255.2,9.76208858607021,19125975,1.97,5671706079.54,1.3,86.37,17.16
"Crush-TB-Substudy","BZM",28,35.5,1.38070481289425,65847718.11,7.58686016587535,19350001,7.27528162888703,6022690255.2,9.76208858607021,19349965.5,5.89,5956842537.09,2.18,545070.45,91.46
"Crush-TB-Substudy","BZMRb",14,189076,5.17553318886687,464390475.636,8.60255334942558,19350001,7.27528162888703,6022690255.2,9.76208858607021,19160925,2.1,5558299779.564,1.16,102.34,12.97
"Crush-TB-Substudy","BZMRb",28,33.4,1.39478990420076,61067459.0574,7.66284747614066,19350001,7.27528162888703,6022690255.2,9.76208858607021,19349967.6,5.88,5961622796.1426,2.1,579341.35,98.62
"TBDA-BC-Rel-01","BDOS",14,22500,4.34464536668547,239273642.628,8.28320412151021,41093750,7.57081665519807,600609847.14,8.71904191035339,41071250,3.23,361336204.512,0.44,1826.39,2.51
"TBDA-BC-Rel-01","BDOS",28,285.002,2.1105566107375,133929807.8022,7.92944669877549,41093750,7.57081665519807,600609847.14,8.71904191035339,41093464.998,5.46,466680039.3378,0.79,144187.58,4.48
"TBDA-BC-Rel-01","BDOS",42,2.1875,0.314232024281705,53271892.83,7.70674506147714,41093750,7.57081665519807,600609847.14,8.71904191035339,41093747.8125,7.26,547337954.31,1.01,18785714.29,11.27
"TBDA-BC-Rel-01","BDOS",56,1.5625,0.193820026016113,43357127.9088,7.5839323006163,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.4375,7.38,557252719.2312,1.14,26300000,13.85
"TBDA-BC-Rel-01","BDOS",70,1.5625,0.193820026016113,6813947.1348,6.81074330293171,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.4375,7.38,593795900.0052,1.91,26300000,88.14
"TBDA-BC-Rel-01","BPaOS",14,55800,4.6312987553048,199087882.206,8.18515794105102,41093750,7.57081665519807,600609847.14,8.71904191035339,41037950,2.94,401521964.934,0.53,736.45,3.02
"TBDA-BC-Rel-01","BPaOS",28,149.2225,1.77582316721151,25081828.872225,7.16956625932974,41093750,7.57081665519807,600609847.14,8.71904191035339,41093600.7775,5.79,575528018.267775,1.55,275385.75,23.95
"TBDA-BC-Rel-01","BPaOS",42,2.5,0.374438023414502,55340745.72,7.72712979982585,41093750,7.57081665519807,600609847.14,8.71904191035339,41093747.5,7.2,545269101.42,0.99,16437500,10.85
"TBDA-BC-Rel-01","BPaOS",56,1.5625,0.193820026016113,50537042.16,7.66597408923865,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.4375,7.38,550072804.98,1.05,26300000,11.88
"TBDA-BC-Rel-01","BPaOS",70,1.5625,0.193820026016113,8531878.5984,6.89633819316184,41093750,7.57081665519807,600609847.14,8.71904191035339,41093748.4375,7.38,592077968.5416,1.82,26300000,70.4
